Id,Label,main_country,Type
6mKwmTMzDrye9elc8JWiw3,Mc Leozin,Brazil,Artist
3Nipsl6GVwwGyeAk0J29C6,MC G15,Brazil,Artist
1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,Brazil,Artist
5nP8x4uEFjAAmDzwOEc9b8,Matuê,Brazil,Artist
6YzSM19LzpLH0nVKKU6Jsy,Mc Daniel,Brazil,Artist
2Y3kRJYYun9lDcRMM7ulQg,MC Bruna Alves,Brazil,Artist
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,Brazil,Artist
7rXMvXRnWHaSwnVvPeUUfw,Gloria Groove,Brazil,Artist
6TYimByryGphZCtwYopH0y,Lauana Prado,Brazil,Artist
5O30nI9WzhHuxqFZqReBQu,MC Thaizinha,Brazil,Artist
1mvpEXClANunyiHFtAXCxt,MC Rick,Brazil,Artist
4MQAbRFF5xtTAIYG8jzfZm,Dj L Martins,Brazil,Artist
6sEfX6ntbBxeWBLggUMyyq,Medi,Bulgaria,Artist
3CcA9m1Ivpp5XmLt8SxUpn,Tedi Aleksandrova,Bulgaria,Artist
2xZOjY3LYFt8mfHuBUOBwF,Silver,Bulgaria,Artist
4vczAVLBVJzhMndKRCsQls,Djordan,Bulgaria,Artist
1WOWylyMYTYIkDJmKLeSpQ,Dessita,Bulgaria,Artist
39mjWoyHE5RMghSx70h7pI,DJ Damyan,Bulgaria,Artist
1lxHE7dVKOVaIjGOIu8svG,Emanuela,Bulgaria,Artist
1vAwQYTE1k5MBhNsvqphp1,Azis,Bulgaria,Artist
2Dj0euYPa8eiI6Ee5VLBwg,Preslava,Bulgaria,Artist
3Q71N3lHz2pijhljCNqOqw,Andrea,Bulgaria,Artist
7Cg8hnSsmbfC6fxCykWYrh,Bilyanish,Bulgaria,Artist
5f1C9EB4G4MrxxmWmZP5Wo,MOMO RECORDS,Bulgaria,Artist
583wxBpo6S1maGz1bqYekZ,Selina,Bulgaria,Artist
2M8DUpSnqu7TlGxEgjUocd,Danna,Bulgaria,Artist
4v8n02xVhZK4CmdUAuipHn,Konstantin,Bulgaria,Artist
7JLPN5CklYCRotAvFGw4Q1,Fiki,Bulgaria,Artist
1UUQq3z2RCIqSE1eiP00Jv,Marso,Bulgaria,Artist
556XyBuO17TCo0Bviw5nCW,V:RGO,Bulgaria,Artist
27m6NrJXMbLGlkoGBUy2IV,Boro Purvi,Bulgaria,Artist
4oopAFtLdKXCoq2XoEjDZD,Krisko,Bulgaria,Artist
5M7RMcbgYy45XzC51HU355,Galena,Bulgaria,Artist
4AZihrM3P96d5mA9kvsxxH,Tsvetelina Yaneva,Bulgaria,Artist
5amPFw5XVlNzP7uSKBXtai,Galin,Bulgaria,Artist
6NtH0d4qlaU5FakRdrdNwq,SIMONA,Bulgaria,Artist
4aPsL8sPDTXIR11gYfAb0i,Mirela,Bulgaria,Artist
696J4fiOALx5ifVKv10VbK,Adam,Bulgaria,Artist
29Hsg37sCbjeeCdDA0HIgt,Ivayla,Bulgaria,Artist
