Source,Target,Weight
2jSGzJw0ebJLu7OLVSOcBP,trap,1
12GqGscKJx3aE4t07u7eVZ,corrido,1
12GqGscKJx3aE4t07u7eVZ,sierreno,1
5szJHKg5xeUlQ9pTqzdpic,rap,1
5szJHKg5xeUlQ9pTqzdpic,trap,1
3qsKSpcV3ncke3hw52JSMB,rap,1
3qsKSpcV3ncke3hw52JSMB,urbano latino,1
3qsKSpcV3ncke3hw52JSMB,trap,1
0wdQR6Qd64uSVhNJy7M2F0,pop,1
6aoGgTKGqtsjj48ymcNs4Z,funk,1
5Dz2FizMLqV0Cr3c8uhEcF,funk,1
5InVWl8IZB8zFAoNa5roKm,funk,1
59jlthNnbmim5l9tmNA7se,pop,1
5wbf52LA6kcaboHSN6NEF1,funk,1
0nFdWpwl7h6fp3ADRyG14L,pop,1
2CKOmarVWvWqkNWUatHCex,pop,1
0xj9MJx9r0wO2o4aqdergP,funk,1
7me0S5Z40qVWj3gzyK8aC3,funk,1
5s27i7oqhNWIcE4HeoVdq0,funk,1
6XFc29m1ptfUNmaa1UTuBT,funk,1
75i9GaW2MJUgt4BkdUnuUY,funk,1
6zGPa2tLMJ5HQYUddZI8di,trap,1
6zGPa2tLMJ5HQYUddZI8di,rap,1
6zGPa2tLMJ5HQYUddZI8di,funk,1
04QHNiih9ZesPvals6II1h,funk,1
2FDaBZt51fOXh2rbHL8Afr,funk,1
0JRPF8WIKUtSO2IUYfrcuh,pop,1
6sW5k31iA8sTy0i2goUKF9,funk,1
2Z0lRIqr997lIUiPtrpKCr,pop,1
1LIuN7ov1IBQDdLsU83ojl,pop,1
41QLxRXlc2NwfJZkHGHKid,pop,1
1mV9h1AwhRXSjBFcYpajgY,funk,1
6VyttZwyEMGBl90oGdKCB8,funk,1
0bg3fNpRQgZTCAg3Bseyly,funk,1
5ZfBThYiIIhL7jHMG8gDB2,funk,1
6qrqAYlS6lUj2BVXax7SZW,trap,1
6qrqAYlS6lUj2BVXax7SZW,rap,1
6qrqAYlS6lUj2BVXax7SZW,funk,1
0vLuOi2k62sHujIfplInlK,rap,1
0vLuOi2k62sHujIfplInlK,hip hop,1
7gZu6kPnY9enEi5FvgTO4F,pop,1
7gHzR22tDNSWGS4HkvvPgw,rap,1
7gHzR22tDNSWGS4HkvvPgw,trap,1
1SZXYhJz4sqEss888VmWLP,funk,1
1JJq541frMPfUIQiUoVrnp,funk,1
0i1s9WcIu0PrUvHzALgofo,rock,1
6mKwmTMzDrye9elc8JWiw3,funk,1
3Nipsl6GVwwGyeAk0J29C6,funk,1
1tKrZaph4cLsnEdqC5BNEQ,pop,1
5nP8x4uEFjAAmDzwOEc9b8,r&b,1
5nP8x4uEFjAAmDzwOEc9b8,rap,1
5nP8x4uEFjAAmDzwOEc9b8,trap,1
6YzSM19LzpLH0nVKKU6Jsy,funk,1
2Y3kRJYYun9lDcRMM7ulQg,funk,1
6m6e7D2TnV0aYMllFFwMxu,pop,1
7rXMvXRnWHaSwnVvPeUUfw,pop,1
7rXMvXRnWHaSwnVvPeUUfw,funk,1
6TYimByryGphZCtwYopH0y,pop,1
5O30nI9WzhHuxqFZqReBQu,funk,1
1mvpEXClANunyiHFtAXCxt,funk,1
4MQAbRFF5xtTAIYG8jzfZm,funk,1
6sEfX6ntbBxeWBLggUMyyq,pop,1
3CcA9m1Ivpp5XmLt8SxUpn,pop,1
2xZOjY3LYFt8mfHuBUOBwF,rock,1
4vczAVLBVJzhMndKRCsQls,pop,1
1WOWylyMYTYIkDJmKLeSpQ,pop,1
39mjWoyHE5RMghSx70h7pI,pop,1
1lxHE7dVKOVaIjGOIu8svG,pop,1
1vAwQYTE1k5MBhNsvqphp1,pop,1
2Dj0euYPa8eiI6Ee5VLBwg,pop,1
3Q71N3lHz2pijhljCNqOqw,pop,1
7Cg8hnSsmbfC6fxCykWYrh,pop,1
5f1C9EB4G4MrxxmWmZP5Wo,rap,1
5f1C9EB4G4MrxxmWmZP5Wo,hip hop,1
5f1C9EB4G4MrxxmWmZP5Wo,pop,1
5f1C9EB4G4MrxxmWmZP5Wo,trap,1
583wxBpo6S1maGz1bqYekZ,pop,1
2M8DUpSnqu7TlGxEgjUocd,pop,1
4v8n02xVhZK4CmdUAuipHn,pop,1
7JLPN5CklYCRotAvFGw4Q1,pop,1
1UUQq3z2RCIqSE1eiP00Jv,rap,1
1UUQq3z2RCIqSE1eiP00Jv,pop,1
1UUQq3z2RCIqSE1eiP00Jv,trap,1
556XyBuO17TCo0Bviw5nCW,rap,1
556XyBuO17TCo0Bviw5nCW,pop,1
556XyBuO17TCo0Bviw5nCW,trap,1
27m6NrJXMbLGlkoGBUy2IV,hip hop,1
27m6NrJXMbLGlkoGBUy2IV,pop,1
4oopAFtLdKXCoq2XoEjDZD,hip hop,1
4oopAFtLdKXCoq2XoEjDZD,pop,1
