artists,followers,genres,name,popularity
3JsHnjpbhX4SnySpvpa9DK,19112209,"j-division, korean ost",V,83
0xByDfltDVpk6LDsUMHyI2,1649867,"russian alt pop, russian electronic",Poshlaya Molly,66
4anb8rmk0xipuQP6QZ5IlH,55697,,FORTUNA 812,60
5xtbUYHaOycg6HIi10EZdV,215414,russian hip hop,FRIENDLY THUG 52 NGG,64
0TO6y1x0LQodwBnxGtQu9o,772443,russian drain,shadowraze,58
5NMwoStnfHT4LdETlJSwDT,1476127,"russian hip hop, russian trap",Big Baby Tape,65
4jIvmo6hfAQ04NSOWPVVA3,414937,"russian alt pop, russian punk",кис-кис,53
5B5qmrbTFvA7TAxWruuwbo,191208,"russian hip hop, russian viral rap",Aarne,64
2hTmpvdwhpNZryOkwTisRW,462389,"russian hip hop, russian plugg",Toxi$,61
6HaGTQPmzraVmaVxvz6EUc,16516524,k-pop,Jung Kook,87
3MdXrJWsbVzdn6fe5JYkSQ,1828857,trap queen,Latto,80
0qyv7OappGDi0OyJxcqpVt,7790,,KRISTIEE,54
5GTZUVrKf86Aco9LJQquxc,30521,,mapt0v,61
0oSMgGNMeXe3HJAXEJrqL8,1493,,YungMeechy,44
260kWe4y9lg7YFDsZBgsLv,189079,russian alt pop,zhanulka,55
6Tv4ZrZbgUMcXAMv0d1VQM,10852,,fleurnothappy,55
1jUPTaRiy2sOdOhvIEUosG,107064,,ENINA,52
2z20q6EEfm6w6PiIKsgtb3,1821322,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap",FACE,64
0yp6xP5xe1qarfugfTixOK,963685,"russian alt pop, russian electronic, russian pop",Monetochka,59
0Kwx9LPnkelacgHzRI8vxl,94765,,Jakone,60
1EDrjPOlEjmbzjbet1DxTN,2450,,Kiliana,54
0E56Ncr2I37JQhW71UJALE,347995,"russian gangster rap, russian hip hop",KRBK,62
6oiinpr7kwRmyWKVDTZgRT,38880,belarusian indie,AP$ENT,51
27kGBCjiz5OXojkKX4xQ6R,456613,"russian drill, russian hip hop, russian trap",BUSHIDO ZHO,62
4h8pGxEIOi7j4me1yhYxlD,1222690,"belarusian hip hop, russian alt pop, russian hip hop",LSP,60
artists,followers,genres,name,popularity
7K2PBAFUE98RKu30clhIms,37396,ukrainian viral pop,Violetta Sokolova,48
3vvLuXEEf7sl3izJcw0GIn,2897637,"central asian hip hop, kazakh hip hop, russian hip hop, russian trap",Skryptonite,64
0P9E2MHee0cXNpIeAvFAt1,52872,,БРЕДИШЬ,50
6oTirjGdJPFt3hycC1Rfxb,45725,,Xolidayboy,52
0XNKQFs2Ewb3y0VsFUFc5l,2145756,"russian hip hop, russian trap",MORGENSHTERN,60
56wiPFJN2Z1PG1N8hGNYaD,156245,,mzlff,58
0hAEtx2GQLtMTJj8qycHRr,214634,"russian hip hop, zxc",xxxmanera,55
4uWhcZCwuPopf6JGvwsN2B,95084,"russian alt pop, russian pop",ANIKV,52
0ChMIwzbYxHbebgoPeETfV,303634,"russian hip hop, russian rave",Lida,57
5IS4dQ9lDW01IY1buR7bW7,273841,russian drain,СЕРЕГА ПИРАТ,58
7bI1v9NGBBhq8iGfytctni,44837,"boston indie, bubblegrunge, countrygaze, midwest shoegaze",Squirrel Flower,48
1nnaE1FllcW0TlDdPVmdPg,572702,russian hip hop,Scally Milano,58
3I9Bd4StaxvFWPG9AAjlrO,295452,"russian drain, russian hip hop, russian viral rap",uglystephan,55
6iQqWcDg92kre5ykFLwqD8,766196,"russian indie, russian indie rock",Дайте танк (!),59
0GOx72r5AAEKRGQFn3xqXK,5148107,"french hip hop, pop urbaine, r&b francais, rap conscient",GIMS,80
1cKyknhftNKXCjMBd2hDrG,643693,"belgian hip hop, rap belge",DYSTINCT,72
0LKAV3zJ8a8AIGnyc5OvfB,1404513,"french hip hop, pop urbaine, r&b francais",SDM,79
2loEsOijJ6XiGzWYFXMIRk,221921,melodic house,Adam Port,77
6XjgqvaVLUib6lCerbZrYD,12703,,Stryv,75
26WKgv73kRHD0gEDKD1i8j,352017,melodic house,Keinemusik,78
2yyaNPcdxZcn4iutCcLMaC,1289,,Orso,75
37lTKHi901VnwngQ7C8noT,9283,,Malachiii,75
3IW7ScrzXmPvZhB27hmfgy,10620209,"french hip hop, pop urbaine, rap marseille",Jul,82
3hWQDRr1PqwvnHeiZlucBq,114824,,Bouss,72
3zGV7t4BDmYZBLVA24487b,149272,,Pommelien Thijs,59
2F3Mdh2idBVOiMTxXoxc10,184164,dutch pop,MEAU,60
0UF7XLthtbSF2Eur7559oV,981430,filter house,Kavinsky,67
3QVolfxko2UyCOtexhVTli,2744639,"belgian pop, french pop, variete francaise",Angèle,70
1xU878Z1QtBldR7ru9owdU,1948998,"alternative dance, indie rock, modern rock, new rave, rock independant francais, shimmer pop",Phoenix,68
5oNWzcU0mYK1zDUxBGHIaG,42252,dutch pop,Hannah Mae,62
5ncHUtKhiVsHlugFN0DCDl,42387,,MAKSIM,57
5MraexJKZDrQYzS98kNwie,744790,"alternative r&b, persian electronic",Sevdaliza,76
6tzRZ39aZlNqlUzQlkuhDV,4298181,"dance pop, funk carioca, funk pop, pop lgbtq+ brasileira, pop nacional",Pabllo Vittar,75
1QsdzIKkTT5gDFj8GB1cIX,277326,"french pop, r&b francais",Yseult,74
3TOqt5oJwL9BE2NG9MEwDa,6973271,"alternative metal, nu metal, rap metal, rock",Disturbed,77
5wCmhq5J2hPwL2r0eKurxn,75121,"hypertechno, pop dance",cassö,70
5KKpBU5eC2tJDzf0wmlRp2,1791638,"uk contemporary r&b, uk pop",RAYE,79
5VadK1havLhK1OpKYsXv9y,1593166,"melodic drill, uk hip hop",D-Block Europe,76
07h4CCFmlXkwx0g4PL5Uuh,522594,"french hip hop, pop urbaine, rap francais",Guy2Bezbar,66
5eDdy8QxB47JsLASK2FI1m,16782,,Noano,58
5eir5zFJpES4j7gsymbVyl,597187,"dutch hip hop, dutch rap pop",Ronnie Flex,70
3JhNCzhSMTxs9WLGJJxWOY,2462952,"pop rap, seattle hip hop",Macklemore,78
5mZJerulcERBZV7xnhrVp1,1672,,Ryan Lewis,72
5BcAKTbp20cv7tC5VqPFoC,2598833,"pop rap, seattle hip hop",Macklemore & Ryan Lewis,73
4e0nWw2r4BoQSKPQ2zpU13,87158,pop dance,Ray Dalton,75
6ltzsmQQbmdoHHbLZ4ZN25,1783343,"indie folk, stomp and holler",Lord Huron,78
0fTSzq9jAh4c36UVb4V7CB,625810,"gen z singer-songwriter, singer-songwriter pop",Alex Warren,77
60df5JBRRPcnSpsIMxxwQm,2341116,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",Otis Redding,73
3l9G1G9MxH6DaRhwLklaf5,3306849,corrido,Oscar Maydon,88
0ys2OFYzWYB5hRDLCsBqxt,12570921,"corrido, corridos tumbados, sad sierreno, sierreno",Fuerza Regida,91
artists,followers,genres,name,popularity
11oaKJc8rsz6x8YPVjca4X,13260,,Engel Montaz,72
0kwa5ELbi8xm7vbwywoLtg,3503,,Kuv507,63
0c0Yh1P4gMYmDwebhyzIDv,3873,,Latinnites Music,64
6XkjpgcEsYab502Vr1bBeW,5312954,musica chihuahuense,Grupo Frontera,87
5JMJt80HJWR1e4hMw63Z5t,60521,pop boliviano,Luis Vega,53
1TA5sGRlKUJXBN4ZyJuDIX,5513220,"reggaeton, urbano latino",Blessd,84
3m5qlPf2OkihLz3dRYnkPA,542367,"colombian pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Ovy On The Drums,81
1r4hJ1h58CWwUQe3MxPuau,35101755,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Maluma,87
66ihevNkSYNzRAl44dx6jJ,13792708,"corrido, musica mexicana, sad sierreno, sierreno",Carin Leon,87
6ndLrsgT3MV5CNxIrW71fw,101809,,DFZM,72
1vyhD5VmyZ7KMfW5gqLgo5,37431041,"reggaeton, reggaeton colombiano, trap latino, urbano latino",J Balvin,88
7j6DKwmjbxvpQO8h914uEz,3252616,"reggaeton, trap colombiano, trap latino, urbano latino",Ryan Castro,81
4q3ewBCX7sLwd24euuV69X,87239086,"reggaeton, trap latino, urbano latino",Bad Bunny,95
1fctva4kpRbg2k3v7kwRuS,2514304,"reggaeton, reggaeton flow, trap latino, urbano latino",Rvssian,75
1mcTU81TzQhprhouKaTkpq,24500753,"puerto rican pop, reggaeton, trap latino, urbano latino",Rauw Alejandro,93
3ZpEKRjHaHANcpk10u6Ntq,3918169,afrobeats,Ayra Starr,78
1dKdetem2xEmjgvyymzytS,13795034,"banda, musica mexicana, norteno, sierreno",Grupo Firme,82
0dUyjgCyjfj5eMx6bX2TWf,1616013,"trap argentino, trap triste",FMK,69
2jSGzJw0ebJLu7OLVSOcBP,5235698,"reggaeton, trap latino, urbano latino",Plan B,81
12GqGscKJx3aE4t07u7eVZ,17527716,"corridos tumbados, sad sierreno",Peso Pluma,93
18dspUI6gqabm5XCC2RcUD,151395,reggaeton colombiano,SOG,71
5szJHKg5xeUlQ9pTqzdpic,94475,trap argentino,Taiu,71
0OTHm6AFLxgeTm0gHNOuWi,116887,,De Parranda,63
3qsKSpcV3ncke3hw52JSMB,3585001,"trap latino, urbano latino",Young Miko,80
0wdQR6Qd64uSVhNJy7M2F0,7099,pop boliviano,JAVVI ELIAS,38
6aoGgTKGqtsjj48ymcNs4Z,1045454,funk consciente,MC Tuto,83
6XX6KGpomRDPmGGm7bofCK,268564,,DJ Glenner,78
3p7PcrEHaaKLJnPUGOtRlT,24256802,"agronejo, arrocha, musica tocantinense, sertanejo, sertanejo universitario",Henrique & Juliano,87
6vTqEFbTtTRJsuIpzZgjxi,4031860,"pagode, pagode novo",Grupo Menos É Mais,80
