Id,Label,Popularity,Followers,Type
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,73,2603676,artist
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,75,87854,artist
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,78,1793656,artist
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,77,636018,artist
60df5JBRRPcnSpsIMxxwQm,Otis Redding,74,2346644,artist
11oaKJc8rsz6x8YPVjca4X,Engel Montaz,72,13373,artist
0kwa5ELbi8xm7vbwywoLtg,Kuv507,64,3516,artist
0c0Yh1P4gMYmDwebhyzIDv,Latinnites Music,65,3892,artist
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,87,5368511,artist
5JMJt80HJWR1e4hMw63Z5t,Luis Vega,53,61952,artist
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,84,5590731,artist
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,82,558663,artist
1r4hJ1h58CWwUQe3MxPuau,Maluma,88,35181234,artist
66ihevNkSYNzRAl44dx6jJ,Carin Leon,87,13888823,artist
6ndLrsgT3MV5CNxIrW71fw,DFZM,72,105534,artist
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,88,37463468,artist
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,82,3291559,artist
4q3ewBCX7sLwd24euuV69X,Bad Bunny,96,87431757,artist
1fctva4kpRbg2k3v7kwRuS,Rvssian,75,2515300,artist
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,94,24639525,artist
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,78,3955125,artist
1dKdetem2xEmjgvyymzytS,Grupo Firme,82,13839167,artist
0dUyjgCyjfj5eMx6bX2TWf,FMK,69,1619157,artist
2jSGzJw0ebJLu7OLVSOcBP,Plan B,81,5273213,artist
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,93,17699141,artist
18dspUI6gqabm5XCC2RcUD,SOG,71,152808,artist
5szJHKg5xeUlQ9pTqzdpic,Taiu,71,95265,artist
0OTHm6AFLxgeTm0gHNOuWi,De Parranda,63,117954,artist
3qsKSpcV3ncke3hw52JSMB,Young Miko,80,3593900,artist
0wdQR6Qd64uSVhNJy7M2F0,JAVVI ELIAS,38,7158,artist
6aoGgTKGqtsjj48ymcNs4Z,MC Tuto,83,1089238,artist
6XX6KGpomRDPmGGm7bofCK,DJ Glenner,78,271313,artist
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,87,24383531,artist
6vTqEFbTtTRJsuIpzZgjxi,Grupo Menos É Mais,81,4058611,artist
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,82,21983968,artist
5Dz2FizMLqV0Cr3c8uhEcF,MC Cebezinho,76,1168945,artist
1b8S7EPzdckRyIh0uSbOMI,DJ Oreia,75,266980,artist
64DTkZLH6KkkMwZEEZ5VWC,Love Funk,75,918294,artist
5InVWl8IZB8zFAoNa5roKm,Mc Kako,76,1187271,artist
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,80,13987684,artist
1DuBkL1pAgaZQHXKPiVr08,Léo Foguete,74,89784,artist
5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,75,2750376,artist
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,71,421839,artist
3hq7WoPJsrRP0KMSLhUgRz,Murilo Huff,80,1773114,artist
2CKOmarVWvWqkNWUatHCex,Ana Castela,81,7758402,artist
0xj9MJx9r0wO2o4aqdergP,DJ TOPO,73,194342,artist
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,74,7408336,artist
70jpkgy5oGT4YjaGFpCpk7,MC LUUKY,80,289136,artist
7wLAecYIgstxcjqe6JwT3w,DJ JB Mix,68,3354,artist
5s27i7oqhNWIcE4HeoVdq0,MC GP,78,1474923,artist
2f8xoxornfSw6ePzgyM9NO,MC Jvila,72,64273,artist
6XFc29m1ptfUNmaa1UTuBT,MC Joãozinho VT,78,1320780,artist
3UfwtvPZZea2HHwI23VtKP,MC Vine7,71,51555,artist
75i9GaW2MJUgt4BkdUnuUY,MC Ryan SP,85,6361665,artist
2VTYSgPG0HoSZ4YMx7EeFj,Mc Duzinho SP,64,879,artist
6zGPa2tLMJ5HQYUddZI8di,Caio Passos,67,103512,artist
04QHNiih9ZesPvals6II1h,MC Marks,77,1779839,artist
7IOSPo9oGCLWtDEZtmxgTi,MC Bruno MS,69,71017,artist
2FDaBZt51fOXh2rbHL8Afr,Mc Magal,70,652358,artist
48yaM25WLHmQZXx5NN3DYH,Aaron Modesto,67,11352,artist
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,83,20871614,artist
0JRPF8WIKUtSO2IUYfrcuh,Kaique e Felipe,68,27546,artist
5kVgcCdPbeUwxBqWxi2Ktl,Luan Pereira,80,2685125,artist
6sW5k31iA8sTy0i2goUKF9,Oldilla,71,347970,artist
6VOn8xBJH73S7DN8VBAoaN,Deejhay RB,65,15752,artist
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,80,11525306,artist
1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,80,2348590,artist
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,73,2786418,artist
1mV9h1AwhRXSjBFcYpajgY,Mc Lele JP,71,1015799,artist
6VyttZwyEMGBl90oGdKCB8,MC Leozinho ZS,67,493689,artist
6wduHvHCH5QZtWs6ULilDM,Henry Freitas,73,818499,artist
0bg3fNpRQgZTCAg3Bseyly,Mc Th,72,1140027,artist
5ZfBThYiIIhL7jHMG8gDB2,Ferrugem,78,5593823,artist
1fUSLFr4WUBx7joEcGwpvG,Sorriso Maroto,78,3234020,artist
37mqXU98U5GmH5ZDtlHM1c,Matheus Fernandes,71,880078,artist
6qrqAYlS6lUj2BVXax7SZW,Mc Jacaré,72,659383,artist
0vLuOi2k62sHujIfplInlK,Hungria,77,9888284,artist
7gZu6kPnY9enEi5FvgTO4F,Felipe e Rodrigo,72,236711,artist
7gHzR22tDNSWGS4HkvvPgw,THE BOX,66,419931,artist
1SZXYhJz4sqEss888VmWLP,Mc Brinquedo,66,1066854,artist
1JJq541frMPfUIQiUoVrnp,Mc Laranjinha,67,265826,artist
1X6ORK7IekgmyjV6IFPszP,Gustavo Mioto,76,6296284,artist
0i1s9WcIu0PrUvHzALgofo,Seu Jorge,70,1654959,artist
6mKwmTMzDrye9elc8JWiw3,Mc Leozin,69,286213,artist
3Nipsl6GVwwGyeAk0J29C6,MC G15,67,3296775,artist
1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,73,433238,artist
5nP8x4uEFjAAmDzwOEc9b8,Matuê,81,11588969,artist
2eK9gcJQ6uqVvJL63dnOM3,Simone Mendes,77,2422120,artist
5IREutgMnyQqRcc8r15gWk,CountryBeat,68,62974,artist
6YzSM19LzpLH0nVKKU6Jsy,Mc Daniel,75,2125341,artist
3CIIaeZuFYrAD6PRVyuO4U,Felipe Amorim,76,2486901,artist
2Y3kRJYYun9lDcRMM7ulQg,MC Bruna Alves,63,113388,artist
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,75,1361443,artist
7rXMvXRnWHaSwnVvPeUUfw,Gloria Groove,73,3489449,artist
6TYimByryGphZCtwYopH0y,Lauana Prado,78,4877841,artist
5tfvAC3ptwTnVXeNJ8qkYe,DJ L30,62,9194,artist
5O30nI9WzhHuxqFZqReBQu,MC Thaizinha,62,10135,artist
1mvpEXClANunyiHFtAXCxt,MC Rick,70,1568633,artist
2xOLGU5UNLV3KQSFteF8ZW,Boladin 211,72,198583,artist
54DpD2uxqh2jQtstvXxCag,Deliverymusic,62,61,artist
4MQAbRFF5xtTAIYG8jzfZm,Dj L Martins,61,11932,artist
5H2zqAv4kVidX9S98sanYa,GringoBeats808,59,1166,artist
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,79,20628797,artist
6sEfX6ntbBxeWBLggUMyyq,Medi,50,178599,artist
