185,United States,USA Top 50,16wsvPYpJg1dmLhz0XTOmX,kolibrimusic,kolibrimusic
186,Uruguay,Top 50 - Uruguay,37i9dQZEVXbMJJi3wgRbAy,spotify,Spotify
187,Uzbekistan,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
188,Vanuatu,Top 50 - Vietnam,37i9dQZEVXbLdGSmz6xilI,spotify,Spotify
189,Vatican City,None,None,None,None
190,Venezuela,Top 50 - Venezuela,37i9dQZEVXbNLrliB10ZnX,spotify,Spotify
191,Vietnam,Top 50 - Vietnam,37i9dQZEVXbLdGSmz6xilI,spotify,Spotify
192,Yemen,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
193,Zambia,Top 50 - Zambia,7iMwO7PbOYoaalwTgWSs8Y,212v6yrvoxusnyvntujrtokra,Chileshe Kakumya
194,Zimbabwe,None,None,None,None
