id,label,type,main_country
0qyv7OappGDi0OyJxcqpVt,KRISTIEE,Artist,Belarus
5GTZUVrKf86Aco9LJQquxc,mapt0v,Artist,Belarus
0oSMgGNMeXe3HJAXEJrqL8,YungMeechy,Artist,Belarus
260kWe4y9lg7YFDsZBgsLv,zhanulka,Artist,Belarus
6Tv4ZrZbgUMcXAMv0d1VQM,fleurnothappy,Artist,Belarus
1jUPTaRiy2sOdOhvIEUosG,ENINA,Artist,Belarus
2z20q6EEfm6w6PiIKsgtb3,FACE,Artist,Belarus
0yp6xP5xe1qarfugfTixOK,Monetochka,Artist,Belarus
0Kwx9LPnkelacgHzRI8vxl,Jakone,Artist,Belarus
1EDrjPOlEjmbzjbet1DxTN,Kiliana,Artist,Belarus
0E56Ncr2I37JQhW71UJALE,KRBK,Artist,Belarus
6oiinpr7kwRmyWKVDTZgRT,AP$ENT,Artist,Belarus
27kGBCjiz5OXojkKX4xQ6R,BUSHIDO ZHO,Artist,Belarus
4h8pGxEIOi7j4me1yhYxlD,LSP,Artist,Belarus
7K2PBAFUE98RKu30clhIms,Violetta Sokolova,Artist,Belarus
3vvLuXEEf7sl3izJcw0GIn,Skryptonite,Artist,Belarus
0P9E2MHee0cXNpIeAvFAt1,БРЕДИШЬ,Artist,Belarus
6oTirjGdJPFt3hycC1Rfxb,Xolidayboy,Artist,Belarus
0XNKQFs2Ewb3y0VsFUFc5l,MORGENSHTERN,Artist,Belarus
56wiPFJN2Z1PG1N8hGNYaD,mzlff,Artist,Belarus
0hAEtx2GQLtMTJj8qycHRr,xxxmanera,Artist,Belarus
4uWhcZCwuPopf6JGvwsN2B,ANIKV,Artist,Belarus
0ChMIwzbYxHbebgoPeETfV,Lida,Artist,Belarus
5IS4dQ9lDW01IY1buR7bW7,СЕРЕГА ПИРАТ,Artist,Belarus
7bI1v9NGBBhq8iGfytctni,Squirrel Flower,Artist,Belarus
1nnaE1FllcW0TlDdPVmdPg,Scally Milano,Artist,Belarus
3I9Bd4StaxvFWPG9AAjlrO,uglystephan,Artist,Belarus
6iQqWcDg92kre5ykFLwqD8,Дайте танк (!),Artist,Belarus
0GOx72r5AAEKRGQFn3xqXK,GIMS,Artist,France
1cKyknhftNKXCjMBd2hDrG,DYSTINCT,Artist,Belgium
0LKAV3zJ8a8AIGnyc5OvfB,SDM,Artist,France
2loEsOijJ6XiGzWYFXMIRk,Adam Port,Artist,Belgium
6XjgqvaVLUib6lCerbZrYD,Stryv,Artist,Belgium
26WKgv73kRHD0gEDKD1i8j,Keinemusik,Artist,Belgium
2yyaNPcdxZcn4iutCcLMaC,Orso,Artist,Belgium
37lTKHi901VnwngQ7C8noT,Malachiii,Artist,Belgium
3IW7ScrzXmPvZhB27hmfgy,Jul,Artist,Belgium
3hWQDRr1PqwvnHeiZlucBq,Bouss,Artist,Belgium
3zGV7t4BDmYZBLVA24487b,Pommelien Thijs,Artist,Belgium
2F3Mdh2idBVOiMTxXoxc10,MEAU,Artist,Belgium
0UF7XLthtbSF2Eur7559oV,Kavinsky,Artist,Belgium
3QVolfxko2UyCOtexhVTli,Angèle,Artist,Belgium
1xU878Z1QtBldR7ru9owdU,Phoenix,Artist,Belgium
5oNWzcU0mYK1zDUxBGHIaG,Hannah Mae,Artist,Belgium
5ncHUtKhiVsHlugFN0DCDl,MAKSIM,Artist,Belgium
5MraexJKZDrQYzS98kNwie,Sevdaliza,Artist,Belgium
6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,Artist,Belgium
1QsdzIKkTT5gDFj8GB1cIX,Yseult,Artist,Belgium
3TOqt5oJwL9BE2NG9MEwDa,Disturbed,Artist,Belgium
5wCmhq5J2hPwL2r0eKurxn,cassö,Artist,Belgium
5KKpBU5eC2tJDzf0wmlRp2,RAYE,Artist,Belgium
5VadK1havLhK1OpKYsXv9y,D-Block Europe,Artist,Belgium
07h4CCFmlXkwx0g4PL5Uuh,Guy2Bezbar,Artist,Belgium
5eDdy8QxB47JsLASK2FI1m,Noano,Artist,Belgium
5eir5zFJpES4j7gsymbVyl,Ronnie Flex,Artist,Netherlands
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,Artist,Belgium
5mZJerulcERBZV7xnhrVp1,Ryan Lewis,Artist,Belgium
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,Artist,Belgium
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,Artist,Belgium
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,Artist,Belgium
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,Artist,Belgium
60df5JBRRPcnSpsIMxxwQm,Otis Redding,Artist,Belgium
11oaKJc8rsz6x8YPVjca4X,Engel Montaz,Artist,Dominica
0kwa5ELbi8xm7vbwywoLtg,Kuv507,Artist,Dominica
