id_genre,id_artiste,pays
1794,777,Greece
1793,778,Greece
1794,778,Greece
1793,780,Greece
1794,780,Greece
1795,781,Greece
1795,787,Honduras
1795,788,Hungary
1797,788,Hungary
1795,789,Hungary
1797,789,Hungary
1795,790,Hungary
1793,791,Hungary
1794,791,Hungary
1793,793,Hungary
1794,793,Hungary
1795,793,Hungary
1797,793,Hungary
1793,795,Hungary
1794,795,Hungary
1795,795,Hungary
1793,796,Hungary
1794,796,Hungary
1795,796,Hungary
1797,796,Hungary
1795,797,Hungary
1795,798,Hungary
1797,798,Hungary
1795,799,Hungary
1797,799,Hungary
1795,801,Hungary
1797,801,Hungary
1793,802,Hungary
1794,802,Hungary
1795,802,Hungary
1797,802,Hungary
1795,803,Hungary
1795,805,Hungary
1795,806,Hungary
1795,807,Hungary
1793,810,Hungary
1794,810,Hungary
1795,810,Hungary
1795,811,Hungary
1795,812,Iceland
1797,812,Iceland
1795,813,Iceland
1795,814,Iceland
1797,814,Iceland
1795,815,Iceland
1797,816,Iceland
1797,817,Iceland
1797,818,Iceland
1795,820,Iceland
1797,821,Iceland
1795,822,Iceland
1795,823,Iceland
1795,824,Iceland
1797,824,Iceland
1795,825,Iceland
1795,826,Iceland
1795,827,India
1795,828,India
1795,829,India
1795,831,India
1795,832,India
1795,834,India
1797,838,India
1797,840,India
1795,845,India
1795,849,India
1795,851,India
1797,851,India
1795,853,India
1795,856,Pakistan
1795,857,Pakistan
1797,857,Pakistan
1795,858,Pakistan
1795,859,India
1795,865,India
1793,867,India
1794,867,India
1797,867,India
1795,868,India
1795,869,India
1795,871,India
1795,874,India
1795,877,India
1795,878,India
1795,879,India
1795,880,Pakistan
1797,880,Pakistan
1795,881,India
1797,882,Pakistan
1795,883,India
1795,884,India
1795,888,India
1795,892,India
1795,893,India
1795,899,Pakistan
1797,899,Pakistan
1795,900,India
1795,902,India
1795,904,India
1795,905,India
1795,908,Indonesia
1795,911,Indonesia
1797,911,Indonesia
1795,912,Indonesia
1795,913,Indonesia
1799,913,Indonesia
1795,915,Indonesia
1795,916,Indonesia
1795,918,Indonesia
1795,919,Indonesia
1795,920,Indonesia
1795,921,Indonesia
1795,922,Indonesia
1795,923,Indonesia
1795,924,Indonesia
1795,925,Indonesia
1795,926,Indonesia
1795,927,Indonesia
1795,929,Indonesia
1799,929,Indonesia
1795,930,Indonesia
1795,931,Indonesia
1795,933,Indonesia
1795,934,Indonesia
1795,936,Indonesia
1795,938,Indonesia
1799,938,Indonesia
1795,939,Indonesia
1795,940,Indonesia
1795,941,Indonesia
1795,942,Indonesia
1795,943,Thailand
1795,944,Indonesia
1795,945,Indonesia
1795,946,Ireland
1795,947,Ireland
1795,948,Ireland
1799,949,Ireland
1795,951,Israel
1797,953,Israel
1795,955,Israel
1795,956,Israel
1795,957,Israel
1795,958,Israel
1795,959,Israel
1797,960,Israel
1797,961,Israel
1793,966,Israel
1794,966,Israel
1797,966,Israel
1793,968,Israel
1794,968,Israel
1795,969,Israel
1797,969,Israel
1795,970,Israel
1797,970,Israel
1799,971,Israel
1797,972,Israel
1797,973,Israel
1795,974,Israel
1793,975,Israel
1794,975,Israel
1797,975,Israel
1795,976,Israel
1797,977,Italy
1800,977,Italy
1793,979,Italy
1794,979,Italy
1797,979,Italy
1793,980,Italy
1795,980,Italy
1795,981,Italy
1795,982,Italy
1795,983,Italy
1795,984,Italy
