id_genre,id_artiste
funk,1JJq541frMPfUIQiUoVrnp
rock,0i1s9WcIu0PrUvHzALgofo
funk,6mKwmTMzDrye9elc8JWiw3
funk,3Nipsl6GVwwGyeAk0J29C6
pop,1tKrZaph4cLsnEdqC5BNEQ
trap,5nP8x4uEFjAAmDzwOEc9b8
rap,5nP8x4uEFjAAmDzwOEc9b8
r&b,5nP8x4uEFjAAmDzwOEc9b8
funk,6YzSM19LzpLH0nVKKU6Jsy
funk,2Y3kRJYYun9lDcRMM7ulQg
pop,6m6e7D2TnV0aYMllFFwMxu
pop,7rXMvXRnWHaSwnVvPeUUfw
funk,7rXMvXRnWHaSwnVvPeUUfw
pop,6TYimByryGphZCtwYopH0y
funk,5O30nI9WzhHuxqFZqReBQu
funk,1mvpEXClANunyiHFtAXCxt
funk,4MQAbRFF5xtTAIYG8jzfZm
pop,6sEfX6ntbBxeWBLggUMyyq
pop,3CcA9m1Ivpp5XmLt8SxUpn
rock,2xZOjY3LYFt8mfHuBUOBwF
pop,4vczAVLBVJzhMndKRCsQls
pop,1WOWylyMYTYIkDJmKLeSpQ
pop,39mjWoyHE5RMghSx70h7pI
pop,1lxHE7dVKOVaIjGOIu8svG
pop,1vAwQYTE1k5MBhNsvqphp1
pop,2Dj0euYPa8eiI6Ee5VLBwg
pop,3Q71N3lHz2pijhljCNqOqw
pop,7Cg8hnSsmbfC6fxCykWYrh
hip hop,5f1C9EB4G4MrxxmWmZP5Wo
pop,5f1C9EB4G4MrxxmWmZP5Wo
trap,5f1C9EB4G4MrxxmWmZP5Wo
rap,5f1C9EB4G4MrxxmWmZP5Wo
pop,583wxBpo6S1maGz1bqYekZ
pop,2M8DUpSnqu7TlGxEgjUocd
pop,4v8n02xVhZK4CmdUAuipHn
pop,7JLPN5CklYCRotAvFGw4Q1
pop,1UUQq3z2RCIqSE1eiP00Jv
trap,1UUQq3z2RCIqSE1eiP00Jv
rap,1UUQq3z2RCIqSE1eiP00Jv
pop,556XyBuO17TCo0Bviw5nCW
trap,556XyBuO17TCo0Bviw5nCW
rap,556XyBuO17TCo0Bviw5nCW
hip hop,27m6NrJXMbLGlkoGBUy2IV
pop,27m6NrJXMbLGlkoGBUy2IV
hip hop,4oopAFtLdKXCoq2XoEjDZD
pop,4oopAFtLdKXCoq2XoEjDZD
pop,5M7RMcbgYy45XzC51HU355
pop,4AZihrM3P96d5mA9kvsxxH
pop,5amPFw5XVlNzP7uSKBXtai
pop,6NtH0d4qlaU5FakRdrdNwq
pop,4aPsL8sPDTXIR11gYfAb0i
rock,4aPsL8sPDTXIR11gYfAb0i
pop,696J4fiOALx5ifVKv10VbK
pop,29Hsg37sCbjeeCdDA0HIgt
pop,4FTXvsvz433gZR67rhxFfN
pop,1cqkZpQniJhO3wvhxqVz54
pop,12a4KgFut39rBB8WjeN2oL
pop,5mNFpEfI0KApCz2Y88LYW6
pop,2lKSCvxuWDRCyImWLIXqre
house,64KEffDW9EtZ1y2vBYgq8T
pop,64KEffDW9EtZ1y2vBYgq8T
country,3oSJ7TBVCWMDMiYjXNiCKE
country,718COspgdWOnwOFpJHRZHS
pop,4GGfAshSkqoxpZdoaHm7ky
country,4GGfAshSkqoxpZdoaHm7ky
rap,4Gso3d4CscCijv0lmajZWs
hip hop,2hlmm7s2ICUX0LVIhVFlZQ
trap,2hlmm7s2ICUX0LVIhVFlZQ
rap,2hlmm7s2ICUX0LVIhVFlZQ
trap,1QcutbFtA6u8A2ZFTZuLSL
rap,1QcutbFtA6u8A2ZFTZuLSL
cumbia,7hwlbJCUBQksiqlloB6x9K
trap,2OEZ0KKJrKXsRQ6hU9bbfS
rap,2OEZ0KKJrKXsRQ6hU9bbfS
drill,0x5lhIYknBUEozHuXjkwUs
cumbia,22QaKKmBIH3QiotuG30W3o
trap,6w9ToX5slZ4uIdmD17hJ3c
rap,6w9ToX5slZ4uIdmD17hJ3c
urbano latino,6w9ToX5slZ4uIdmD17hJ3c
trap,2XcZshqzPKm3iZcmt73R8D
rap,2XcZshqzPKm3iZcmt73R8D
urbano latino,2XcZshqzPKm3iZcmt73R8D
trap,0NnUMWDCDi1snuMja6IdxH
rap,0NnUMWDCDi1snuMja6IdxH
drill,4yxLYO2imECxGYTTV7RQKb
urbano latino,4yxLYO2imECxGYTTV7RQKb
trap,7kvnG7JhX0ycVMVb8SP8EL
rap,7kvnG7JhX0ycVMVb8SP8EL
trap,3i6lAgVHplDXb6zrjIeBeK
rap,3i6lAgVHplDXb6zrjIeBeK
hip hop,1cUpGtXcSQsovNYEZOQgOG
trap,7a0XAaPaK2aDSqa8p3QnC7
rap,7a0XAaPaK2aDSqa8p3QnC7
urbano latino,7a0XAaPaK2aDSqa8p3QnC7
pop,2NfSBtmWe7oPw1EmetJVso
urbano latino,2NfSBtmWe7oPw1EmetJVso
r&b,0zO8yNnw5GQgutcIyXfGBY
trap,7GQDI5Vmxs92RsIRZzYT11
rap,7GQDI5Vmxs92RsIRZzYT11
urbano latino,7GQDI5Vmxs92RsIRZzYT11
urbano latino,3jGlU8UMMo44I2xeLQ6FD3
hip hop,5J5DLfdC5YmPjVk8ljdOqU
trap,5J5DLfdC5YmPjVk8ljdOqU
rap,5J5DLfdC5YmPjVk8ljdOqU
hip hop,0eHQ9o50hj6ZDNBt6Ys1sD
trap,0eHQ9o50hj6ZDNBt6Ys1sD
rap,0eHQ9o50hj6ZDNBt6Ys1sD
urbano latino,0eHQ9o50hj6ZDNBt6Ys1sD
pop,28gNT5KBp7IjEOQoevXf9N
urbano latino,28gNT5KBp7IjEOQoevXf9N
pop,0GchaVw5KfSVEm0xl0OXEe
hip hop,4SsVbpTthjScTS7U2hmr1X
trap,4SsVbpTthjScTS7U2hmr1X
rap,4SsVbpTthjScTS7U2hmr1X
urbano latino,4SsVbpTthjScTS7U2hmr1X
hip hop,3SUT1jjM5hzZj9TLfLZGIP
trap,3SUT1jjM5hzZj9TLfLZGIP
rap,3SUT1jjM5hzZj9TLfLZGIP
urbano latino,3SUT1jjM5hzZj9TLfLZGIP
trap,17SY5q1CMOZJBRuPcKWwPI
rap,17SY5q1CMOZJBRuPcKWwPI
urbano latino,17SY5q1CMOZJBRuPcKWwPI
trap,4s6Xg38sbqh4xpf4OqhVUK
rap,4s6Xg38sbqh4xpf4OqhVUK
urbano latino,4s6Xg38sbqh4xpf4OqhVUK
trap,2cPqdH7XMvwaBJEVjheH8g
rap,2cPqdH7XMvwaBJEVjheH8g
urbano latino,2cPqdH7XMvwaBJEVjheH8g
hip hop,5lwmRuXgjX8xIwlnauTZIP
pop,5lwmRuXgjX8xIwlnauTZIP
trap,5lwmRuXgjX8xIwlnauTZIP
rap,5lwmRuXgjX8xIwlnauTZIP
bachata,5lwmRuXgjX8xIwlnauTZIP
